Timestamp,What is your Favorite Color?,Which of the following places do you most enjoy?,"What is your height in inches? (Write only the number, ex: 68)","How many hours do you exercise per week? (Put only the hours, if none enter 0, ex: 4)",Would you consider yourself a sweet tooth?,Do you enjoy Chocolate Chip Cookies?,What Industry do you work / plan to work in?,"How many hours do you spend working per week? (put only the number, ex: 2)","How many hours do you spend watching Netflix per week? (put only the number, ex: 2)"
3/1/2021 13:03:56,Black,A Fancy Restaurant,68,5,No,Yes,Tech/ Software,50,0
2/28/2021 12:07:01,Black,A Fancy Restaurant,68,5,Yes,Yes,Tech/ Software,5,0
2/27/2021 17:15:01,Black,The Beach,70,5,Yes,Yes,Engineering ,0,0
2/28/2021 10:20:42,Black,The Beach,63,2,No,Yes,Health,40,8
2/27/2021 17:06:07,Black,The Beach,68,8,No,Yes,Tech/ Software,5,10
2/28/2021 9:36:10,Blue,The Beach,69,2,Yes,No,Tech/ Software,55,0
2/28/2021 8:55:46,Blue,The Beach,72,10,Yes,Yes,Tech/ Software,45,0
2/27/2021 22:24:35,Blue,A Fancy Restaurant,68,7,Yes,Yes,Chemical,25,0
2/27/2021 17:39:21,Blue,A Fancy Restaurant,79,3,Yes,Yes,Business / Marketing / Accounting,20,0
2/27/2021 17:10:19,Blue,The Beach,63,5,No,Yes,Health,4,0
3/1/2021 4:49:25,Blue,The Beach,70,5,Yes,No,VOLUNTEERING,2,0
2/27/2021 17:23:08,Blue,The Beach,65,4,Yes,Yes,Business / Marketing / Accounting,0,0
2/27/2021 23:26:36,Blue,A Tropical Forest,70,1.5,No,Yes,Tech/ Software,55,1
2/28/2021 14:57:04,Blue,The Beach,69,8,No,No,Tech/ Software,50,1
3/4/2021 5:29:06,Blue,A Tropical Forest,73,5,Yes,Yes,Tech/ Software,40,2
3/4/2021 10:44:26,Blue,A Tropical Forest,73,5,Yes,Yes,Tech/ Software,40,2
3/4/2021 16:05:38,Blue,A Tropical Forest,73,5,Yes,Yes,Tech/ Software,40,2
3/4/2021 20:58:37,Blue,A Tropical Forest,73,5,Yes,Yes,Tech/ Software,40,2
2/27/2021 16:53:58,Blue,A Tropical Forest,67,8,Yes,Yes,Health,40,2
2/27/2021 17:30:20,Blue,The Beach,64,3,Yes,Yes,Civil Service,20,2
2/27/2021 23:57:27,Blue,A College Campus,70,0,No,Yes,Business / Marketing / Accounting,2,2
